,typeId,typeName,id,code,name,zoneId,zone,address,largeCar,car,carDis,carWoman,carGreen,moto,motoDis,largeCar_total,car_total,carDis_total,carWoman_total,carGreen_total,moto_total,motoDis_total,chargeTime,chargeFee,update_time,lnglat
0,2,公有收費停車場,1,B00001,海安路地下停車場,1,中西區,台南市中西區海安路188號B1,0,429,0,0,0,0,0,0,909,0,0,0,0,0,,,2022-11-26 16:06:03,"22.991501,120.195621"
1,2,公有收費停車場,6,A00051,崇善路龍山停車場,2,東區,台南市東區崇善路51號,0,106,0,0,0,0,0,0,158,0,0,0,0,0,,,2022-11-26 16:06:14,"22.982593,120.221534"
2,2,公有收費停車場,7,A00061,東光路地下停車場,2,東區,台南市東區東光路一段76號,0,39,0,0,0,0,0,0,252,0,0,0,0,0,營業時間(自行輸入),收費金額(自行輸入),2022-11-26 16:03:48,"22.992491,120.231296"
3,2,公有收費停車場,13,A00111,公園南路停車場,4,北區,台南市北區海安路3段與公園南路口,0,65,0,0,0,0,0,0,280,0,0,0,0,0,,,2022-11-26 16:06:58,"23.002911,120.200498"
4,2,公有收費停車場,14,A00131,榮譽街停車場,2,東區,台南市東區榮譽街,0,201,0,0,0,0,0,0,352,0,0,0,0,0,,,2022-11-26 16:06:02,"22.976591,120.219439"
5,2,公有收費停車場,15,A00141,臺南萬昌街停車場,1,中西區,台南市中西區萬昌街與青年路226巷口,0,3,0,0,0,0,0,0,23,0,0,0,0,0,,,2022-11-26 16:06:02,"22.991078,120.210567"
6,2,公有收費停車場,16,A00151,臺南環河街停車場,1,中西區,台南市中西區環河街26號旁,0,21,0,0,0,0,0,0,40,0,0,0,0,0,,,2022-11-26 16:06:02,"22.992542,120.192008"
7,2,公有收費停車場,60,A00511,民生路停車場,1,中西區,中西區民生路二段400巷西側(原警察局拖吊場),0,56,0,0,0,0,0,0,192,0,0,0,0,0,,,2022-11-26 16:04:03,"22.997837,120.188128"
8,2,公有收費停車場,62,A00531,東橋八街停車場,7,永康區,永康區東橋八街與東橋三路口,0,41,0,0,0,0,0,0,91,0,0,0,0,0,,,2022-11-26 16:06:16,"23.021002,120.233932"
9,2,公有收費停車場,65,A00561,新化廣停二停車場,9,新化區,新化區中正路498號,0,29,0,0,0,0,0,0,52,2,2,1,0,0,,,2022-11-26 16:04:56,"23.038083,120.307251"
10,2,公有收費停車場,67,A00581,大興公園停車場,4,北區,北區文賢路與大興街口(好市多後方),0,164,0,0,0,0,0,0,150,8,3,3,0,0,,,2022-11-26 16:04:54,"23.011473,120.192454"
11,2,公有收費停車場,68,A00591,大豐公園停車場,4,北區,北區武聖路與和緯路4段路口西北側,0,20,0,0,0,0,0,0,18,1,1,1,0,0,,,2022-11-26 16:06:48,"23.008078,120.187522"
12,2,公有收費停車場,69,A00601,停2路外停車場 (南側),5,安平區,安平區建平16街近中華西路南側,0,1,0,0,0,0,0,0,66,2,2,4,0,0,,,2022-11-26 16:04:46,"22.996565, 120.185636"
13,1,公有免費停車場,93,A00840,怡平停九免費臨時停車場 ,5,安平區,安平區怡平路、永華6街口,0,4,0,0,0,0,0,0,36,1,0,0,0,0,,,2022-11-26 16:05:00,"22.993102,120.176987"
14,1,公有免費停車場,94,A00850,育平9街公有停車場(停10) ,5,安平區,安平區國平路、育平9街口,0,38,0,0,0,0,0,0,72,1,1,1,156,0,,,2022-11-26 16:04:45,"22.995235,120.171545"
15,1,公有免費停車場,96,A00870,文平路與建平五街免費臨時停車場 ,5,安平區,安平區文平路、建平五街口,0,0,0,0,0,0,0,0,65,1,0,1,0,0,,,2022-11-26 16:05:02,"22.987782,120.177894"
16,2,公有收費停車場,98,A00890,龍山里臨時停車場(第二區) ,2,東區,龍山里第二區,0,41,0,0,0,0,0,0,45,2,1,1,67,0,,,2022-11-26 16:05:27,"22.984527,120.219863"
17,1,公有免費停車場,99,A00900,本原街3段(停1) ,5,安平區,本原街3段、智安三街口(本淵寮公有零售市場東側),0,0,0,0,0,0,0,0,48,0,0,0,0,0,,,2022-11-26 16:06:23,"23.053050,120.177516"
18,1,公有免費停車場,100,A00910,安順里臨時免費公有停車場 ,6,安南區,安南區總安街1段、育安街口,0,46,0,0,0,0,0,0,55,2,0,1,21,0,,,2022-11-26 16:04:55,"23.051369,120.215407"
19,1,公有免費停車場,102,A00930,東興路公有停車場 ,25,新營區,新營區東興路、東興八街(衛生局旁),0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,2022-11-26 16:02:31,"23.315489,120.312910"
20,1,公有免費停車場,103,A00940,民族路停車場,25,新營區,新營長榮路一段515巷後方、大公街(防疫所旁),0,5,0,0,0,0,0,0,63,2,0,2,0,0,,,2022-11-26 16:04:55,"23.318598,120.318561"
21,1,公有免費停車場,107,A00980,湖美街60巷臨時免費公有停車場 ,1,中西區,中西區湖美街60巷(西湖社區活動中心旁),0,5,0,0,0,0,0,0,35,1,0,0,30,0,,,2022-11-26 16:04:53,"23.001373,120.181094"
22,1,公有免費停車場,108,A00990,竹溪街公有停車場(停10) ,3,南區,南區竹溪街、健康路一段133巷51弄口(何必館大樓旁),0,3,0,0,0,0,0,0,20,1,1,1,1,0,,,2022-11-26 16:04:44,"22.980223,120.209880"
23,1,公有免費停車場,110,A01010,成德停四免費公有停車場 ,4,北區,北區海安路3段388巷、立賢路1段650巷口,0,0,0,0,0,0,0,0,88,2,0,1,0,0,,,2022-11-26 16:06:48,"23.008623,120.202959"
24,1,公有免費停車場,113,A01040,大興四自辦重劃區公有停車場 ,4,北區,北區大興街76巷,0,26,0,0,0,0,0,0,27,2,0,0,0,0,,,2022-11-26 16:04:30,"23.013394,120.191746"
25,3,民營停車場,115,B00011,成功大學大學路地下停車場,2,東區,東區大學路1號,0,9,0,0,0,0,0,0,150,0,0,0,0,0,,,2021-02-23 11:23:12,"22.999852,120.215339"
